Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,6676
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,153
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,20
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.006773871835321188
power__switching__total,0.0036966477055102587
power__leakage__total,3.27572536207299E-7
power__total,0.010470847599208355
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.32478240460769214
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3261665196916378
timing__hold__ws__corner:nom_tt_025C_3v30,0.585528087033494
timing__setup__ws__corner:nom_tt_025C_3v30,3.6598884958575915
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.585528
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,3.659889
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,749
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,20
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.39101742395166356
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.39358137307724633
timing__hold__ws__corner:nom_ss_125C_3v00,1.4672588004328537
timing__setup__ws__corner:nom_ss_125C_3v00,-12.721074331765069
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-782.6499989619415
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-12.721074331765069
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.467259
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,144
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-12.721074
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,144
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,20
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2948149308125645
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.29591338550419505
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21028723801927768
timing__setup__ws__corner:nom_ff_n40C_3v60,10.587450327232695
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.210287
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,10.587450
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,928
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2897347166416552
clock__skew__worst_setup,0.2897347166416552
timing__hold__ws,0.20986057929884752
timing__setup__ws,-13.642479532205295
timing__hold__tns,0.0
timing__setup__tns,-872.1393916133085
timing__hold__wns,0
timing__setup__wns,-13.642479532205295
timing__hold_vio__count,0
timing__hold_r2r__ws,0.209861
timing__hold_r2r_vio__count,0
timing__setup_vio__count,429
timing__setup_r2r__ws,-13.642480
timing__setup_r2r_vio__count,429
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3335
design__instance__area__stdcell,70845.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.656396
design__instance__utilization__stdcell,0.656396
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:buffer,8
design__instance__area__class:buffer,140.493
design__instance__count__class:inverter,123
design__instance__area__class:inverter,1115.16
design__instance__count__class:sequential_cell,306
design__instance__area__class:sequential_cell,19576.8
design__instance__count__class:multi_input_combinational_cell,1691
design__instance__area__class:multi_input_combinational_cell,36201
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2408.37
design__instance__displacement__mean,0.722
design__instance__displacement__max,30.1725
route__wirelength__estimated,104507
design__violations,0
design__instance__count__class:timing_repair_buffer,285
design__instance__area__class:timing_repair_buffer,7907.11
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,26
design__instance__area__class:clock_buffer,1707.87
design__instance__count__class:clock_inverter,13
design__instance__area__class:clock_inverter,250.253
design__instance__count__setup_buffer,22
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,18974
global_route__wirelength,176694
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2473
route__net__special,2
route__drc_errors__iter:0,729
route__wirelength__iter:0,119642
route__drc_errors__iter:1,198
route__wirelength__iter:1,118592
route__drc_errors__iter:2,175
route__wirelength__iter:2,118399
route__drc_errors__iter:3,8
route__wirelength__iter:3,118155
route__drc_errors__iter:4,0
route__wirelength__iter:4,118154
route__drc_errors,0
route__wirelength,118154
route__vias,17146
route__vias__singlecut,17146
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,588.45
design__instance__count__class:fill_cell,3341
design__instance__area__class:fill_cell,37085.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
